year,percent_papers
2008,11.66666667
2008.988636,14.375
2010,20.52083333
2011.011364,25.625
2012,31.14583333
2013,36.35416667
2014.011364,41.77083333
2015,48.02083333
2016.011364,52.39583333
2017,58.02083333
